V | I veicoli a due ruote, con motore termico fino a 50 cm3 di cilindrata e velocità massima di 45 km/h sono ciclomotori
F | I quadricicli non sono soggetti a revisione periodica Autovetture
V | L'autovettura è un veicolo a motore con quattro ruote, destinato al trasporto di massimo nove persone, compreso il conducente
V | L'autovettura fa parte degli autoveicoli
V | L'autovettura non può avere più di nove posti, compreso il conducente
V | L'autobus non è un'autovettura
V | Le autovetture possono avere motore elettrico
V | Le autovetture sono soggette a revisione periodica
F | Si definiscono autovetture tutti i veicoli a motore che hanno la trazione posteriore
F | Le autovetture non possono trainare carrelli-appendice o rimorchi
F | Vengono definite autovetture tutti i veicoli con motore anteriore
F | L'autovettura è un veicolo con dieci posti in totale, compreso il conducente
F | Si definisce autovettura il veicolo blindato e appositamente attrezzato per il trasporto di valori
F | L'autocarro è un'autovettura
F | L'autovettura può avere, al massimo, cinque posti
F | Le autovetture sono soggette a revisione ogni cinque anni 2 I VEICOLI Autoveicoli
V | Gli autoveicoli sono veicoli a motore con almeno quattro ruote, esclusi i quadricicli
V | L'autoveicolo è un veicolo a motore con non meno di quattro ruote, eccetto i quadricicli
V | L'autobus viene classificato autoveicolo
V | L'autocarro è un autoveicolo
V | I quadricicli non sono autoveicoli
F | Gli autoveicoli sono tutti i veicoli a motore con quattro o più ruote, compresi i quadricicli
F | Gli autoveicoli sono tutti i veicoli con almeno due ruote
F | Gli autoveicoli sono tutti i veicoli con almeno quattro ruote, compresi quelli senza motore
F | Il triciclo a motore è un autoveicolo
F | L'autoveicolo è un qualunque veicolo a motore
F | L'autoveicolo è un qualunque veicolo adibito al trasporto di merce Autocaravan (camper)
V | Le autocaravan (camper) sono veicoli aventi una speciale carrozzeria per essere adibiti al trasporto ed all'alloggio di persone
V | Le autocaravan (camper) sono veicoli aventi una speciale carrozzeria per essere adibiti al trasporto ed all'alloggio al massimo del numero di persone indicato nella carta di circolazione
V | Le autocaravan (camper) sono veicoli attrezzati permanentemente per essere adibiti al trasporto ed all'alloggio di persone
V | Le autocaravan sono soggette a revisione periodica
F | Le autocaravan (camper) sono rimorchi
F | Le autocaravan (camper) sono veicoli destinati ai lavori agricoli
F | Le autocaravan (camper) sono veicoli destinati alla costruzione e alla manutenzione di opere stradali
F | Sulle autocaravan (camper) è possibile viaggiare in piedi, solo per brevi tratti
F | Le autocaravan sono soggette a revisione ogni cinque anni Macchine agricole - Macchine operatrici
V | Le macchine agricole possono circolare su strada per il proprio trasferimento se immatricolate
V | Le macchine agricole possono essere a ruote o a cingoli
V | Le macchine agricole a ruote o a cingoli possono circolare su strada per il trasporto di prodotti agricoli per conto delle aziende agricole e forestali
V | Le macchine agricole possono essere semoventi o trainate
V | Le macchine agricole operatrici possono essere dotate di speciali attrezzature per l'esecuzione di operazioni agricole
V | Le macchine operatrici possono essere semoventi o trainate
V | Le macchine operatrici possono essere veicoli sgombraneve
F | Le macchine operatrici possono circolare ad una velocità superiore a 50 km/h
F | Le macchine operatrici a cingoli possono circolare ad una velocità superiore a 45 km/h
F | Le macchine operatrici semoventi possono trasportare fino a quattro passeggeri
F | Per condurre macchine operatrici è necessario essere titolari della patente di guida della categoria A
F | Le macchine agricole possono trasportare fino a quattro passeggeri
F | Sulle macchine agricole e sui loro rimorchi è consentito il trasporto di persone in piedi
F | Con la patente di categoria A si possono guidare tutte le macchine agricole
F | Con la patente di categoria B si possono guidare le macchine operatrici eccezionali 3 I VEICOLI Rimorchi e semirimorchi
V | I rimorchi o i semirimorchi sono veicoli privi di motore, destinati ad essere trainati
V | I rimorchi leggeri sono quelli di massa massima a pieno carico fino a 750 kg
V | L'autosnodato non è classificato rimorchio
V | L'autocaravan non è un rimorchio
F | Il caravan non è un rimorchio
F | I rimorchi leggeri sono quelli di massa massima a pieno carico fino a 500 kg
F | I semirimorchi sono rimorchi privi di impianto frenante
F | I rimorchi sono muniti di silenziatore Caravan (roulotte)
V | I caravan (roulottes) sono rimorchi attrezzati per essere adibiti ad alloggio
V | I caravan (roulottes) sono utilizzabili come alloggio solo con veicolo fermo
V | I caravan (roulottes) sono muniti di targa
F | È possibile alloggiare nei caravan (roulottes) durante la circolazione
F | I caravan (roulottes) sono rimorchi destinati ai lavori agricoli
F | I caravan (roulottes) sono rimorchi destinati esclusivamente al trasporto di attrezzature turistiche e sportive 4 LA STRADA Strada
V | La strada può essere suddivisa in carreggiate
V | La strada può comprendere le piste ciclabili
V | La strada può essere a senso unico di circolazione
V | La strada può essere a doppio senso di circolazione
V | La strada è aperta alla circolazione dei pedoni, degli animali e dei veicoli
F | La strada non comprende le banchine
F | La strada è riservata alla circolazione dei soli autoveicoli e motocicli
F | La strada è normalmente riservata alla circolazione dei soli veicoli e animali
F | La strada non comprende i marciapiedi
F | La strada è qualsiasi area asfaltata, limitata lateralmente dagli attraversamenti pedonali Autostrada
V | L'autostrada non ha incroci a raso che l'attraversano
V | L'autostrada è dotata di speciali corsie per l'ingresso e l'uscita dei veicoli
V | L'autostrada è a carreggiate indipendenti o separate da spartitraffico
V | I motocicli con cilindrata di almeno 150 cm3 possono circolare in autostrada
V | Le macchine agricole non possono circolare in autostrada
V | Non tutti i tipi di veicoli possono circolare in autostrada
V | L'uscita dei veicoli dalle autostrade avviene tramite corsie di decelerazione
V | L'autostrada deve essere lateralmente recintata
F | Nelle autostrade possono circolare solo le autovetture
F | Nelle autostrade possono circolare tutti i tipi di motocicli
F | L'autostrada può comprendere piste ciclabili
F | Nelle autostrade possono circolare i ciclomotori e i motocicli con cilindrata fino a 125 cm3
F | Nelle autostrade possono circolare solo gli autoveicoli
F | Nelle autostrade possono circolare tutti i motocicli e i ciclomotori 5 LA STRADA Strada extraurbana principale
V | Le strade extraurbane principali sono a carreggiate separate
V | Le strade extraurbane principali sono dotate di apposite aree di sosta
V | La strada extraurbana principale non ha incroci a raso che l'attraversano
V | Le strade extraurbane principali sono segnalate da cartelli stradali di inizio e fine
V | Nelle strade extraurbane principali possono circolare solo alcune categorie di veicoli a motore
V | Nelle strade extraurbane principali si possono trovare intersezioni (incroci) a livelli sfalsati
V | Le strade extraurbane principali sono provviste di corsie di accelerazione per l'ingresso
F | Sulle strade extraurbane principali è consentito circolare alla velocità massima di 130 km/h
F | Le strade extraurbane principali sono contraddistinte da segnaletica verde
F | Le strade extraurbane principali possono essere ad un'unica carreggiata
F | Sulle strade extraurbane principali è consentito circolare alla stessa velocità massima prevista per le autostrade
F | Sulle strade extraurbane principali i quadricicli leggeri possono transitare
F | Le strade extraurbane principali hanno una sola corsia per ogni senso di marcia
F | Sulle strade extraurbane principali i ciclomotori possono transitare
F | Nelle strade extraurbane principali non vi sono curve né dossi
F | Le strade extraurbane principali devono essere dotate di pannelli a messaggio variabile Carreggiata
V | La carreggiata può essere a senso unico di circolazione
V | La carreggiata può essere a doppio senso di circolazione
V | La carreggiata può essere suddivisa in corsie
V | La carreggiata non comprende le piste ciclabili
V | La carreggiata non comprende i marciapiedi
V | La carreggiata è la parte della strada destinata normalmente alla circolazione dei veicoli
F | La carreggiata è destinata soltanto alla circolazione di carri a trazione animale
F | La carreggiata è destinata alla sosta di emergenza
F | La carreggiata è destinata alla sosta degli autocarri
F | La carreggiata è la traccia lasciata dalle ruote dei veicoli sulle strade innevate
F | La carreggiata comprende le piazzole di sosta Carreggiata
V | Fanno parte della carreggiata le corsie di marcia
V | Fanno parte della carreggiata gli attraversamenti ciclabili
V | Fanno parte della carreggiata gli attraversamenti pedonali
V | Fanno parte della carreggiata le corsie di sorpasso
F | Fanno parte della carreggiata le corsie di emergenza delle autostrade
F | Fanno parte della carreggiata le banchine
F | Fanno parte della carreggiata i marciapiedi 6 LA STRADA Corsia
V | La corsia può essere destinata alla normale marcia dei veicoli
V | La corsia è limitata da strisce continue o discontinue
V | La corsia può essere di accelerazione
V | La corsia può essere di decelerazione
V | Le corsie possono essere vietate a taluni tipi di veicoli
V | La corsia può essere riservata alla circolazione di alcune categorie di veicoli (taxi, autobus, ecc.)
V | La corsia può essere destinata ad effettuare sorpassi
V | L'ente proprietario della strada può imporre che su una corsia i veicoli transitino ad una velocità minima obbligatoria
V | La corsia è una parte della carreggiata che consente la circolazione di una sola fila di veicoli
V | La corsia può essere destinata alle soste di emergenza, in caso di guasto o malessere
V | La corsia può essere riservata ai veicoli che intendono svoltare (corsia specializzata)
V | La corsia può essere destinata al rallentamento dei veicoli in uscita dalle autostrade
F | La corsia è destinata solo al transito dei pedoni
F | La corsia può essere a doppio senso di circolazione
F | La corsia è una pista riservata alle vetture da corsa
F | La corsia non può mai essere attraversata dai pedoni
F | La corsia è formata da due carreggiate
F | La corsia è una strada a scorrimento veloce
F | Nei centri abitati, su una stessa corsia possono circolare affiancati due motocicli
F | Fuori dai centri abitati, su una stessa corsia possono circolare affiancati due ciclomotori Corsia di accelerazione
V | La corsia di accelerazione facilita l'ingresso dei veicoli in autostrada o su strade extraurbane principali
V | La corsia di accelerazione serve ad entrare correttamente in autostrada
V | La corsia di accelerazione viene utilizzata per aumentare la velocità
V | La corsia di accelerazione serve per rientrare sulla carreggiata dell'autostrada dopo che si è usciti da un'area di servizio
F | La corsia di accelerazione può essere utilizzata per il sorpasso
F | La corsia di accelerazione serve per uscire da una piazzola di sosta
F | La corsia di accelerazione serve per abbandonare la carreggiata dell'autostrada ed entrare in un'area di sosta Corsia di decelerazione
V | La corsia di decelerazione facilita l'uscita dei veicoli dall'autostrada
V | La corsia di decelerazione serve per uscire correttamente da una strada extraurbana principale
V | La corsia di decelerazione serve per uscire dalla carreggiata dell'autostrada ed entrare nell'area di servizio
F | La corsia di decelerazione può essere utilizzata per la sosta dei veicoli
F | La corsia di decelerazione serve per entrare in una piazzola di sosta
F | La corsia di decelerazione serve ad entrare in autostrada 7 LA STRADA Banchina
V | La banchina non consente, di norma, il transito ai veicoli
V | La banchina è parte della strada, posta al di fuori della carreggiata
V | La banchina è parte della strada, situata oltre la linea bianca continua di margine della carreggiata
F | La banchina è riservata ai veicoli lenti, nelle strade in salita
F | Sulle banchine la sosta dei veicoli è consentita per un massimo di 5 ore
F | La banchina divide la carreggiata in due corsie
F | La banchina è parte della carreggiata, destinata alla sosta dei veicoli Passo carrabile
V | Il passo carrabile consente ai veicoli di accedere alle proprietà private laterali alla strada (garage, cortili, ecc.)
V | Il passo carrabile permette ai veicoli che circolano su una strada pubblica di accedere ad un'area laterale adibita alla sosta
V | Il passo carrabile deve essere corredato da apposito segnale, che riporti l'ente e il numero di autorizzazione
V | Il passo carrabile è una zona per l'accesso dei veicoli alle proprietà laterali alla strada
V | In corrispondenza del passo carrabile è consentita la fermata
F | Il passo carrabile è un parcheggio scambiatore
F | Il passo carrabile è una strada riservata ai carri trainati da animali
F | Il passo carrabile è una strada riservata agli autocarri
F | Il passo carrabile è un salvagente circolare per i pedoni
F | Il passo carrabile è un segnale che impone la circolazione rotatoria su una piazza
F | In corrispondenza del passo carrabile è consentita la sosta Marciapiede
V | Il marciapiede è una parte della strada, rialzata o delimitata in altro modo, riservata ai pedoni
V | Il marciapiede è una parte della strada riservata, di norma, ai pedoni
V | Il marciapiede consente la sosta dei veicoli solo in presenza di apposite strisce di parcheggio
V | Il marciapiede è una parte della strada, al di fuori della carreggiata, destinata alla circolazione dei pedoni
F | Il marciapiede è una parte della carreggiata
F | Il marciapiede è una parte della strada riservata anche alle biciclette
F | Il marciapiede è riservato ai pedoni e ai veicoli in sosta, qualora non sia rialzato
F | Il marciapiede è una parte della strada dove, di norma, è consentita la sosta dei ciclomotori 8 LA STRADA Attraversamento pedonale
V | L'attraversamento pedonale viene segnalato con strisce bianche parallele
V | L'attraversamento pedonale è una parte della carreggiata sulla quale è vietata la fermata dei veicoli
V | L'attraversamento pedonale è una parte della carreggiata, in cui i veicoli devono dare la precedenza ai pedoni, che attraversano sulle apposite strisce
V | L'attraversamento pedonale è una parte della carreggiata destinata al transito dei pedoni che attraversano
V | L'attraversamento pedonale è una parte della carreggiata sulla quale è vietata la sosta dei veicoli
F | L'attraversamento pedonale è una parte della strada, separata dalla carreggiata mediante una striscia gialla
F | L'attraversamento pedonale è una parte della carreggiata vietata al transito dei veicoli
F | L'attraversamento pedonale non fa parte della carreggiata
F | L'attraversamento pedonale è posto al di fuori della carreggiata ed è destinato al transito dei pedoni
F | L'attraversamento pedonale è una parte della carreggiata in cui è consentita la fermata ma non la sosta dei veicoli Intersezione (incrocio) a raso
V | Nell'intersezione (incrocio) a raso due o più strade si incrociano allo stesso livello
V | L'intersezione (incrocio) a raso può essere regolata da semaforo
V | L'intersezione (incrocio) a raso è un'intersezione di due o più strade poste allo stesso livello
V | L'intersezione (incrocio) a raso richiede di fare attenzione ai veicoli provenienti dalle strade che si incrociano
F | L'intersezione (incrocio) a raso è un incrocio fra una strada statale e i binari del tram
F | L'intersezione (incrocio) a raso è un incrocio fra una strada statale e un passo carrabile
F | L'intersezione (incrocio) a raso è un passaggio a livello  dotato di barriere o semibarriere
F | L'intersezione (incrocio) a raso è un'intersezione a livelli sfalsati
F | L'intersezione (incrocio) a raso è un insieme di sovrappassi, sottopassi e rampe Intersezione (incrocio) a livelli sfalsati
V | L'intersezione (incrocio) a livelli sfalsati comprende strade situate ad altezze diverse
V | L'intersezione (incrocio) a livelli sfalsati facilita la circolazione, perché esclude l'incrocio diretto fra i veicoli
V | L'intersezione (incrocio) a livelli sfalsati comprende rampe, sovrappassi o sottopassi
V | L'intersezione (incrocio) a livelli sfalsati è munita di infrastrutture (rampe, sovrappassi, sottopassi) per il collegamento fra strade poste a livelli diversi
F | L'intersezione a livelli sfalsati è un incrocio a raso fra una strada e i binari del treno
F | Nell'intersezione (incrocio) a livelli sfalsati non valgono i limiti massimi generali di velocità
F | L'intersezione (incrocio) a livelli sfalsati è, di norma, regolata da semafori 9 LA STRADA Passaggio a livello
V | In un passaggio a livello si possono trovare le barriere
V | In un passaggio a livello si possono trovare le semibarriere
V | In un passaggio a livello si possono trovare le luci rosse
V | In vicinanza di un passaggio a livello si trovano i pannelli distanziometrici
V | In un passaggio a livello si può trovare la croce di S. Andrea
V | In un passaggio a livello si può trovare un dispositivo di segnalazione acustica
F | Il passaggio a livello è un cavalcavia ferroviario o tranviario
F | In un passaggio a livello si possono trovare le luci gialle lampeggianti
F | Il passaggio a livello è caratterizzato dalla presenza di un attraversamento autostradale
F | In un passaggio a livello si possono trovare le corsie di accelerazione
F | Il passaggio a livello è un passo carrabile
F | Il passaggio a livello è caratterizzato dalla presenza di un sottopassaggio Isola di traffico
V | L'isola di traffico serve a facilitare l'incanalamento dei veicoli verso varie direzioni
V | L'isola di traffico è delimitata da strisce bianche continue
V | L'isola di traffico può essere a raso o in rilievo (rialzata)
V | L'isola di traffico viene evidenziata mediante zebrature di colore bianco
V | L'isola di traffico è una parte della strada sulla quale è vietato il transito dei motocicli
V | L'isola di traffico a raso è costituita da zebrature di colore bianco
V | L'isola di traffico, se rialzata, è preceduta da zebrature di colore bianco
V | L'isola di traffico è una parte della strada sulla quale è vietato il transito dei veicoli
F | L'isola di traffico serve a separare la carreggiata dalla banchina
F | L'isola di traffico serve per il transito dei pedoni
F | L'isola di traffico è una piazzola di sosta per i veicoli
F | L'isola di traffico può essere percorsa solo dai taxi e dagli autobus urbani
F | L'isola di traffico è la parte della città con maggiore traffico
F | L'isola di traffico corrisponde, in genere, al centro storico della città
F | L'isola di traffico è una piazzola per effettuare l'inversione di marcia
F | L'isola di traffico è posta al di fuori della strada
F | L'isola di traffico serve per la fermata dei veicoli
F | L'isola di traffico facilita la salita e la discesa di passeggeri da tram, filobus e autobus
F | L'isola di traffico è una zona destinata al parcheggio dei veicoli
F | L'isola di traffico è un'area pedonale urbana
F | L'isola di traffico è una parte della strada sulla quale è consentito il transito dei ciclomotori 10 LA STRADA Zona a traffico limitato
V | Una zona a traffico limitato è un'area in cui può essere limitata la circolazione dei veicoli solo in alcune ore
V | Una zona a traffico limitato è un'area nella quale può essere limitata la circolazione solo di particolari categorie di veicoli
V | In una zona a traffico limitato possono circolare solo i veicoli autorizzati
V | Una zona a traffico limitato è un'area nella quale può essere limitata la circolazione solo a particolari categorie di utenti
V | Una zona a traffico limitato è delimitata da appositi segnali stradali di inizio e di fine
F | In una zona a traffico limitato non possono entrare più di un certo numero di veicoli
F | Una zona a traffico limitato è un'area nella quale è consentito solo il transito di ciclomotori e biciclette
F | Una zona a traffico limitato è un'area sempre vietata al transito dei veicoli a motore
F | Una zona a traffico limitato è un'area vietata al transito dei pedoni durante le ore notturne Area pedonale
V | Nelle aree pedonali possono transitare i veicoli ad emissione zero (elettrici), se espressamente consentito
V | Nelle aree pedonali possono transitare i pedoni
V | Nelle aree pedonali possono transitare le biciclette
V | Nelle aree pedonali possono transitare i veicoli al servizio di persone diversamente abili
V | Nelle aree pedonali possono transitare i veicoli della polizia, con sirena e luce lampeggiante blu in funzione
V | Nelle aree pedonali possono transitare gli autoveicoli dei vigili del fuoco, con luce lampeggiante blu e sirena in funzione
F | Nelle aree pedonali possono transitare tutti i motocicli, purché diano la precedenza ai pedoni
F | Nelle aree pedonali possono transitare i trattori stradali, con velocità non superiore a 30 km/h
F | Nelle aree pedonali i ciclomotori possono transitare solo di giorno
F | Nelle aree pedonali possono transitare tutti gli autoveicoli, ma con prudenza
F | Nelle aree pedonali possono transitare i quadricicli a motore, purché non superino la velocità di 50 km/h Salvagente
V | Il salvagente, posto in corrispondenza di attraversamenti pedonali, serve anche al riparo o alla sosta dei pedoni che attraversano la strada
V | Il salvagente facilita la salita e la discesa dei passeggeri da tram, filobus o autobus
V | Il salvagente può essere segnalato da colonnine luminose a luce gialla fissa
F | Il salvagente serve a dividere i sensi di marcia in una strada a doppio senso di circolazione
F | Il salvagente serve a incanalare i veicoli in varie direzioni
F | Il salvagente è una persona preposta al primo soccorso
F | Il salvagente è un itinerario ciclopedonale 11 Strada deformata Figura 1 Figura 901 Figura 902
V | Il segnale raffigurato preannuncia un tratto di strada deformata
V | Il segnale raffigurato può essere associato con un segnale di limite massimo di velocità
V | Il segnale raffigurato indica un tratto di strada deformata lungo 380 metri  (FIG 901)
V | Il segnale raffigurato preannuncia un tratto di strada con pavimentazione irregolare
V | Il segnale raffigurato preannuncia una strada in cattivo stato
V | Il segnale raffigurato è un segnale di pericolo
V | Il segnale raffigurato si trova, in genere, 150 metri prima di un tratto di strada con fondo irregolare
V | Il segnale raffigurato preannuncia un tratto di strada dissestata
V | Il segnale raffigurato, se a fondo giallo, è usato in presenza di cantieri stradali
F | Il segnale raffigurato è un segnale di prescrizione
F | Il segnale raffigurato preannuncia una discesa pericolosa
F | Il segnale raffigurato preannuncia più curve consecutive
F | Il segnale raffigurato preannuncia una serie di dossi
F | Il segnale raffigurato preannuncia una forte variazione di pendenza della strada
F | Il segnale raffigurato preannuncia una doppia curva
F | Il segnale raffigurato preannuncia un dosso
F | Il segnale raffigurato preannuncia una cunetta o un dosso
F | Il segnale raffigurato preannuncia un tratto di strada a visibilità limitata
F | Il segnale raffigurato indica un tratto di strada deformata lungo 320 metri  (FIG 902) Strada deformata (comportamento) Figura 1
V | In presenza del segnale raffigurato è importante prevedere eventuali sbandamenti dei veicoli provenienti dal senso opposto
V | In presenza del segnale raffigurato è necessario adeguare la velocità in relazione alle particolari condizioni del fondo stradale
V | In presenza del segnale raffigurato è necessario circolare a velocità moderata se si traina un rimorchio
V | In presenza del segnale raffigurato è necessario moderare la velocità per evitare eccessive sollecitazioni e danni alle sospensioni
V | In presenza del segnale raffigurato è necessario tenere saldamente il volante, per controllare possibili sbandamenti
F | In presenza del segnale raffigurato è obbligatorio circolare al centro della carreggiata
F | In presenza del segnale raffigurato non è necessario rallentare in caso di scarsa visibilità
F | In presenza del segnale raffigurato è necessario fare attenzione al restringimento della carreggiata
F | In presenza del segnale raffigurato è vietato il sorpasso
F | In presenza del segnale raffigurato è necessario rallentare solo se provengono veicoli dal senso opposto 12 Dosso Figura 2
V | Il segnale raffigurato preannuncia un dosso
V | Il segnale raffigurato preannuncia un tratto di strada pericoloso per limitata visibilità
V | Il segnale raffigurato è posto, di norma, 150 metri prima di un dosso
V | In presenza del segnale raffigurato bisogna considerare che la visibilità è limitata
V | Il segnale raffigurato preannuncia una salita, seguita da una discesa
V | Il segnale raffigurato preannuncia una variazione di pendenza della strada con limitata visibilità
F | Il segnale raffigurato preannuncia una cunetta
F | Il segnale raffigurato preannuncia un tratto di strada deformata
F | Il segnale raffigurato preannuncia un tratto di strada in cattivo stato
F | Il segnale raffigurato preannuncia un tratto di strada con pavimentazione irregolare
F | Il segnale raffigurato preannuncia un ponte
F | Il segnale raffigurato preannuncia lavori in corso
F | Il segnale raffigurato preannuncia l'ingresso in una galleria Dosso (comportamento) Figura 2
V | In presenza del segnale raffigurato è necessario moderare la velocità in relazione alla visibilità
V | In presenza del segnale raffigurato è vietata l'inversione di marcia
V | In presenza del segnale raffigurato sono vietate la sosta e la fermata sia sul tratto in salita che su quello in discesa
V | In presenza del segnale raffigurato è vietato il sorpasso sul tratto in salita, se la strada è a doppio senso di circolazione con due sole corsie
V | Il segnale raffigurato è un segnale di pericolo
V | Il segnale raffigurato può presegnalare dossi artificiali
F | Il segnale raffigurato vieta il transito degli autobus
F | In presenza del segnale raffigurato è vietato il sorpasso nel tratto in discesa
F | Il segnale raffigurato è un segnale di obbligo
F | In presenza del segnale raffigurato è possibile effettuare l'inversione di marcia nel tratto in discesa
F | Il segnale raffigurato è un segnale di precedenza 13 Cunetta Figura 3
V | Il segnale raffigurato preannuncia una cunetta
V | Il segnale raffigurato preannuncia un tratto di strada pericoloso a causa di una cunetta
V | Il segnale raffigurato è un segnale di pericolo
V | Il segnale raffigurato si trova prima di un tratto in discesa seguito da uno in salita
V | Il segnale raffigurato preannuncia un tratto di strada che potrebbe allagarsi in caso di forti piogge
F | Il segnale raffigurato indica una banchina cedevole
F | Il segnale raffigurato preannuncia una strada deformata
F | Il segnale raffigurato preannuncia un tratto di strada in cattivo stato
F | Il segnale raffigurato preannuncia un tratto di strada con pavimentazione irregolare
F | Il segnale raffigurato può trovarsi prima di un tratto in salita seguito da una discesa
F | Il segnale raffigurato preannuncia un restringimento della carreggiata
F | Il segnale raffigurato preannuncia un dosso Cunetta (comportamento) Figura 3
V | In presenza del segnale raffigurato è necessario moderare la velocità per evitare danni alle sospensioni
V | In presenza del segnale raffigurato è necessario moderare la velocità per mantenere il controllo del veicolo
V | In presenza del segnale raffigurato è necessario tenere il volante con una presa più sicura
V | In presenza del segnale raffigurato e in caso di pioggia è necessario prevedere la possibilità di accumulo di acqua nella cunetta
V | In presenza del segnale raffigurato è necessario prevedere la possibilità di accumulo di fango e detriti nella cunetta
F | In presenza del segnale raffigurato è necessario rallentare solo se provengono veicoli dal senso opposto
F | In presenza del segnale raffigurato non è necessario rallentare se la cunetta presenta visibilità
F | In presenza del segnale raffigurato è vietato il sorpasso se si circola in una strada a senso unico
F | Il segnale raffigurato preannuncia una banchina cedevole 14 Curva pericolosa a destra Figura 4
V | Il segnale raffigurato preannuncia una curva pericolosa a destra
V | Il segnale raffigurato è posto, di norma, a 150 metri dal punto di inizio della curva
V | Il segnale raffigurato può essere integrato con pannello con la scritta TORNANTE
V | Il segnale raffigurato preannuncia un tratto di strada pericoloso per ridotta visibilità
V | Il segnale raffigurato richiede di moderare la velocità
V | Il segnale raffigurato preannuncia un tratto di strada pericoloso
F | Il segnale raffigurato preannuncia una serie di curve pericolose di cui la prima a destra
F | Il segnale raffigurato preannuncia un obbligo di svolta a destra
F | Il segnale raffigurato è un segnale di prescrizione
F | Il segnale raffigurato preannuncia un tratto di strada in salita
F | Il segnale raffigurato preannuncia un cambio di corsia
F | Il segnale raffigurato preannuncia una curva a sinistra
F | Il segnale raffigurato, posto su una strada a doppio senso di circolazione, impone di portarsi sulla parte sinistra della carreggiata per affrontare meglio la curva
F | Il segnale raffigurato è posto, di norma, a 5 metri dall'inizio della curva Curva pericolosa a destra (comportamento) Figura 4
V | In presenza del segnale raffigurato, posto su strada a doppio senso di circolazione e con due sole corsie, si deve circola- re il più possibile vicino al margine destro
V | Il segnale raffigurato preannuncia un tratto di strada in cui è necessario regolare la velocità in relazione alla visibilità e al raggio della curva
V | Il segnale raffigurato preannuncia un tratto di strada in cui è necessario percorrere la curva con più attenzione se la strada è bagnata
V | Il segnale raffigurato preannuncia un tratto di strada in cui non è consentito il sorpasso se la carreggiata è a doppio senso di circolazione e con due sole corsie
V | In presenza del segnale raffigurato si deve viaggiare ad andatura particolarmente moderata se si circola con il ruotino (ruota di soccorso)
F | Il segnale raffigurato preannuncia un tratto di strada a due corsie e doppio senso di circolazione in cui è consentito sor- passare i motocicli, senza superare la striscia bianca continua
